IP Address,MAC Address,Vendor,Hostname,SSH (22),HTTP (80),HTTPS (443)
10.72.60.216,1e:1b:a0:91:7b:36,Unknown,N/A,Closed,Closed,Closed
10.72.60.239,f8:54:f6:91:c1:5b,Unknown,Pavithran,Closed,Closed,Closed
